ID,surveyID,ID2015,GroupID,RA,Dec,z,StellarMass,tag,CC
19198,-1,457175,-1,      149.77107,        1.99036,        0.94740,       10.34394,-1,       -1.00000
19199,-1,520875,-1,      149.76895,        2.09031,        0.69670,       11.03681,-1,       -1.00000
19200,-1,471425,-1,      149.76863,        2.01363,        0.99870,       10.16719,-1,       -1.00000
19201,-1,529748,-1,      149.76819,        2.10505,        0.18790,        8.21774,-1,       -1.00000
19202,-1,488457,-1,      149.76799,        2.03843,        0.37140,       10.54867,-1,       -1.00000
19203,-1,464776,-1,      149.76773,        2.00118,        0.32440,       10.10699,-1,       -1.00000
19204,-1,537348,-1,      149.76712,        2.11765,        0.66620,       11.05732,-1,       -1.00000
19205,-1,459940,-1,      149.76689,        1.99503,        0.52770,       10.47182,-1,       -1.00000
19206,-1,506397,-1,      149.76688,        2.07348,        0.13280,        9.94878,-1,       -1.00000
19207,-1,455957,-1,      149.76633,        1.98758,        0.83840,       10.97251,-1,       -1.00000
19208,-1,470418,-1,      149.76579,        2.01270,        0.52740,        9.06695,-1,       -1.00000
19209,-1,504894,-1,      149.76578,        2.06507,        0.67560,       10.22079,-1,       -1.00000
19210,-1,481380,-1,      149.76575,        2.02753,        0.69680,       11.03939,-1,       -1.00000
19211,-1,479705,-1,      149.76569,        2.02560,        0.69560,       10.57843,-1,       -1.00000
19212,-1,465043,-1,      149.76561,        2.00285,        0.67460,       10.32027,-1,       -1.00000
19213,-1,464121,-1,      149.76532,        2.00048,        0.67790,       11.12660,-1,       -1.00000
19214,-1,458951,-1,      149.76338,        1.99404,        0.75100,       10.11561,-1,       -1.00000
19215,-1,482823,-1,      149.76270,        2.03254,        0.69570,        9.63929,-1,       -1.00000
19216,-1,449064,-1,      149.76265,        1.97874,        0.68950,        9.60284,-1,       -1.00000
19217,-1,478001,-1,      149.76262,        2.02422,        0.48010,       10.12107,-1,       -1.00000
19218,-1,464075,-1,      149.76170,        2.00211,        0.67730,        9.45113,-1,       -1.00000
19219,-1,449987,-1,      149.76140,        1.97747,        0.68740,       10.65592,-1,       -1.00000
19220,-1,478434,-1,      149.76121,        2.02532,        0.63070,        9.62332,-1,       -1.00000
19221,-1,446479,-1,      149.76082,        1.97369,        0.35520,        9.51746,-1,       -1.00000
19222,-1,474961,-1,      149.76001,        2.01940,        0.69520,        9.93690,-1,       -1.00000
19223,-1,503743,-1,      149.75865,        2.06695,        0.50450,       10.04194,-1,       -1.00000
19224,-1,513680,-1,      149.75868,        2.07912,        0.13270,        8.13514,-1,       -1.00000
19225,-1,469238,-1,      149.75784,        2.00816,        0.43760,        9.65170,-1,       -1.00000
19226,-1,469381,-1,      149.75784,        2.01225,        0.75140,       10.24241,-1,       -1.00000
19227,-1,457560,-1,      149.75638,        1.99090,        0.67670,       10.38801,-1,       -1.00000
19228,-1,454786,-1,      149.75618,        1.98602,        0.52560,       10.67862,-1,       -1.00000
19229,-1,459052,-1,      149.75436,        1.99395,        0.69480,       10.64909,-1,       -1.00000
19230,-1,531369,-1,      149.75427,        2.10494,        0.70090,       11.15177,-1,       -1.00000
19231,-1,445020,-1,      149.75420,        1.97107,        0.52830,       10.60239,-1,       -1.00000
19232,-1,511280,-1,      149.75391,        2.07530,        0.12450,        8.95256,-1,       -1.00000
19233,-1,486895,-1,      149.75385,        2.04136,        0.52710,        9.32960,-1,       -1.00000
19234,-1,512283,-1,      149.75351,        2.07681,        0.67640,       11.12823,-1,       -1.00000
19235,-1,438475,-1,      149.75330,        1.96717,        0.57800,       10.93204,-1,       -1.00000
19236,-1,446794,-1,      149.75311,        1.97212,        0.53680,        9.85941,-1,       -1.00000
19237,-1,482299,-1,      149.75288,        2.03143,        0.77700,        9.96897,-1,       -1.00000
19238,-1,490767,-1,      149.75272,        2.04479,        0.53210,        9.39365,-1,       -1.00000
19239,-1,447375,-1,      149.75220,        1.97496,        0.99650,       10.13024,-1,       -1.00000
19240,-1,499323,-1,      149.75209,        2.05613,        0.52850,        9.49788,-1,       -1.00000
19241,-1,454458,-1,      149.75140,        1.98626,        0.67580,       10.33644,-1,       -1.00000
19242,-1,501605,-1,      149.75067,        2.06137,        0.67470,       10.55801,-1,       -1.00000
19243,-1,450647,-1,      149.74939,        1.97880,        0.47330,       10.20643,-1,       -1.00000
19244,-1,526547,-1,      149.74831,        2.10032,        0.47280,       10.32157,-1,       -1.00000
19245,-1,488384,-1,      149.74701,        2.03998,        0.10730,        8.20696,-1,       -1.00000
19246,-1,451821,-1,      149.74678,        1.98239,        0.47230,       11.01884,-1,       -1.00000
19247,-1,451698,-1,      149.74617,        1.98106,        0.47050,       10.87546,-1,       -1.00000
19248,-1,455227,-1,      149.74507,        1.98707,        0.47360,       11.09218,-1,       -1.00000
19249,-1,486747,-1,      149.74431,        2.03816,        0.74960,       10.82468,-1,       -1.00000
19250,-1,471819,-1,      149.74412,        2.01228,        0.53750,       10.25394,-1,       -1.00000
