GroupID,cenID,cenID2015,RA_avg,Dec_avg,z_avg,HaloMass,GroupTag,Richness
6180,7271,677324,      149.99359,        2.32657,        0.30690,       11.52881,0,1
6181,7272,733467,      149.98653,        2.40864,        0.34158,       12.26101,0,2
6182,7274,732183,      149.99614,        2.40874,        0.48000,       11.41229,0,1
6183,7275,763357,      149.99658,        2.45513,        0.29300,       11.69584,0,1
6184,7276,731761,      149.99710,        2.40658,        0.30770,       11.61693,0,1
6185,7277,737604,      149.99738,        2.41619,        0.56910,       12.31267,0,1
6186,7278,746773,      149.99747,        2.43184,        0.75820,       12.07499,0,1
6187,7279,721109,      149.99783,        2.38978,        0.84180,       12.86834,0,1
6188,7280,661136,      149.99843,        2.30221,        0.44040,       11.80639,0,1
6189,7281,726128,      149.99860,        2.40020,        0.72560,       11.53295,0,1
6190,7282,721375,      149.99864,        2.38931,        0.26560,       11.60953,0,1
6191,7283,665745,      149.99880,        2.30579,        0.21750,       11.75339,0,1
6192,7284,719310,      149.99971,        2.38887,        0.67850,       11.53947,0,1
6193,7285,690492,      150.00064,        2.34507,        0.22350,       11.05513,0,1
6194,7286,685318,      150.00110,        2.33516,        0.59500,       11.99834,0,1
6195,7287,659494,      150.00182,        2.29993,        0.75160,       12.47010,0,1
6196,7288,736205,      150.00183,        2.41475,        0.69500,       11.91121,0,1
6197,7289,681845,      150.00205,        2.33223,        0.86240,       12.39196,0,1
6198,7290,727278,      150.00310,        2.40070,        0.94510,       12.24183,0,1
6199,7291,751265,      150.00357,        2.43795,        0.72280,       11.64512,0,1
6200,7292,772961,      150.00274,        2.46802,        0.92729,       12.47071,0,2
6201,7294,698455,      149.99837,        2.35163,        0.73024,       12.37408,0,3
6202,7297,685593,      150.00459,        2.33879,        0.28270,       11.04805,0,1
6203,7298,759794,      150.00488,        2.44907,        0.70270,       12.23941,0,1
6204,7299,692204,      150.00493,        2.34480,        0.42540,       12.14439,0,1
6205,7300,673986,      150.00629,        2.32135,        0.42590,       11.65358,0,1
6206,7301,743195,      150.00635,        2.42622,        0.24700,       11.06240,0,1
6207,7302,698920,      150.00339,        2.35376,        0.22062,       11.80565,0,2
6208,7304,657814,      150.00617,        2.29498,        0.22354,       11.36628,0,3
6209,7307,723203,      150.00922,        2.39448,        0.73280,       11.94220,0,1
6210,7308,680215,      150.00935,        2.33109,        0.37820,       11.43091,0,1
6211,7309,711250,      150.00948,        2.37595,        0.93220,       12.00120,0,1
6212,7310,667019,      150.01141,        2.31075,        0.68900,       11.68593,0,1
6213,7311,678848,      150.01180,        2.32884,        0.72820,       12.30054,0,1
6214,7312,655078,      150.01189,        2.29367,        0.69480,       11.47077,0,1
6215,7313,681750,      150.01190,        2.33285,        0.85160,       11.75949,0,1
6216,7314,765830,      150.01207,        2.45907,        0.74540,       12.76073,0,1
6217,7315,718600,      150.01224,        2.38785,        0.72520,       11.65246,0,1
6218,7316,682120,      150.01341,        2.33316,        0.78680,       11.75255,0,1
6219,7317,694356,      150.01411,        2.35032,        0.21700,       11.98528,0,1
6220,7318,659866,      150.01410,        2.30027,        0.53880,       11.60111,0,1
6221,7319,751499,      150.01765,        2.43698,        0.34270,       11.70405,1,2
6222,7321,674237,      150.01489,        2.32092,        0.37570,       12.05560,0,1
6223,7322,708400,      150.01502,        2.37096,        0.26760,       11.34686,0,1
6224,7323,668341,      150.01549,        2.31049,        0.49100,       12.06920,0,1
6225,7324,656300,      150.01584,        2.29345,        0.30810,       11.36575,0,1
6226,7325,762833,      150.00466,        2.45132,        0.73007,       13.56766,0,9
6227,7334,679630,      150.01735,        2.33052,        0.46790,       11.36984,0,1
6228,7335,697157,      150.01738,        2.35518,        0.66510,       12.06213,0,1
6229,7336,662871,      150.01782,        2.30521,        0.72450,       12.37702,0,1
6230,7337,706233,      150.01819,        2.36682,        0.18580,       11.57876,0,1
6231,7338,665508,      150.01280,        2.31153,        0.65816,       12.19563,0,2
6232,7340,753676,      150.01657,        2.43978,        0.66695,       12.82696,0,2
6233,7342,668729,      150.01877,        2.30980,        0.37909,       12.26403,0,2
6234,7344,755689,      150.01914,        2.44481,        0.26530,       11.47091,0,1
6235,7345,743188,      150.02072,        2.42264,        0.75790,       12.09483,0,1
6236,7346,727646,      150.02211,        2.40228,        0.30720,       11.30987,0,1
6237,7347,727274,      150.02246,        2.40220,        0.60520,       11.82460,0,1
6238,7348,678474,      150.02309,        2.32759,        0.21590,       11.12751,0,1
6239,7349,715136,      150.01776,        2.38281,        0.75643,       12.24423,0,2
6240,7351,756497,      150.02364,        2.44326,        0.30590,       12.02164,0,1
6241,7352,673322,      150.02608,        2.31884,        0.94480,       13.04456,0,1
6242,7353,728397,      150.02681,        2.40310,        0.94740,       11.90274,0,1
6243,7354,738183,      150.02757,        2.41680,        0.34110,       11.22437,0,1
6244,7355,710646,      150.02847,        2.37510,        0.22320,       11.84873,0,1
6245,7356,659782,      150.02876,        2.29779,        0.26360,       11.79509,0,1
6246,7357,694610,      150.02898,        2.35065,        0.71210,       11.94399,0,1
6247,7358,695841,      150.02676,        2.35176,        0.93003,       12.35250,0,2
6248,7360,673063,      150.02992,        2.31987,        0.72580,       12.00981,0,1
6249,7361,670233,      150.03029,        2.31502,        0.93870,       12.77031,0,1
6250,7362,699371,      150.03032,        2.35874,        0.78510,       12.11318,0,1
6251,7363,670419,      150.03082,        2.31296,        0.43680,       11.45951,0,1
6252,7364,715774,      150.03337,        2.38071,        0.34170,       11.23933,0,1
6253,7365,699246,      150.02608,        2.35601,        0.72565,       13.27155,0,6
6254,7371,707132,      150.02808,        2.37399,        0.22159,       12.95372,0,4
